the,wicked,and,of,to,in,gladiator,is,for,on
0.05198287146121034,0.0,0.03642342262183503,0.03751642658084777,0.0,0.11505806236181702,0.14781272600219716,0.0,0.04735259192068287,0.04623086045864685
0.2783719267729921,0.12837691076262098,0.11145713468300121,0.1722026559802116,0.055728567341500605,0.0,0.0,0.07007063311444092,0.0,0.07073414398955291
0.07681810636555436,0.08266123084698881,0.03588333713922821,0.0,0.03588333713922821,0.11335198466056233,0.0,0.0,0.04665044902418212,0.0
0.1390001580637665,0.0,0.04869740127222819,0.05015872611632095,0.09739480254445639,0.0,0.0,0.122459912427425,0.0,0.0
0.06944237946654244,0.11208671037135835,0.04865697226947346,0.0,0.04865697226947346,0.05123422005891868,0.0,0.1223582451513994,0.12651385213816463,0.0
0.12779441797900148,0.15470440412388978,0.0,0.04611509296027403,0.13431472609878678,0.09428604525558022,0.0,0.11258759308203774,0.0,0.05682685218139398
0.12158388250932707,0.0,0.042595772531970534,0.043873998043560423,0.0,0.04485197252710682,0.0,0.0,0.05537700987615245,0.21626075467968534
0.1438281357271486,0.0,0.0,0.12456220772554011,0.0,0.1273387648254615,0.0,0.0,0.0,0.10233060676982167
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04639610930195419,0.07488780346577247,0.06501776641465208,0.0,0.06501776641465208,0.06846160779957847,0.08795121930288316,0.0,0.0,0.0825245699081214
0.0,0.09454323891976407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12367868614864941,0.09981467498628058,0.0,0.13388974727879002,0.08665933466694001,0.04562474004646418,0.0,0.054480805223093655,0.0,0.0
0.08255295274248946,0.0,0.03856220330400936,0.0,0.0,0.04060475442434998,0.0,0.09697281407726074,0.050133132615673114,0.04894553316515894
0.05101186672559652,0.1646761638958268,0.07148611564721227,0.0,0.14297223129442455,0.0,0.0,0.0,0.0,0.09073459876436127
0.03591985577141267,0.0,0.15101021361474382,0.0,0.0,0.05300295897734471,0.0,0.06329118546980361,0.0,0.0
0.06552121800110414,0.0,0.0,0.09457430478654483,0.09181897601529822,0.04834120788177099,0.0,0.11544911502722957,0.0596850349151556,0.0
0.022443546309926794,0.10867815709680433,0.0,0.03239534999441221,0.03145154353349592,0.0,0.0,0.0,0.04088885664809585,0.07984048810582926
0.0,0.0,0.1889951283077086,0.0,0.0,0.06633525503226918,0.0,0.0,0.0,0.0
0.04983855287365953,0.0,0.0,0.07193771168164756,0.0,0.1470824821938817,0.18895383942657198,0.08781608460643728,0.09079854920691707,0.0
0.06761572754667121,0.10913831767132799,0.09475414308934431,0.0,0.0,0.0498865259396695,0.0,0.0,0.06159297984003766,0.0
0.16549289583126064,0.10684860988954517,0.04638310671445912,0.1910999343155044,0.0,0.04883991308098348,0.0,0.0,0.0,0.058872307427507
0.1131184517330084,0.09129205561830589,0.0,0.12245764720444431,0.07925997656503989,0.12518729254385855,0.0,0.049828992592926655,0.05152131589738745,0.0
